# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
1805.399300, 721.744512, 1.291930, 1956.100000
1805.182248, 721.615325, 1.291819, 1956.000000
1804.965055, 721.486148, 1.291708, 1955.900000
1804.748309, 721.356983, 1.291597, 1955.800000
1804.531307, 721.227829, 1.291486, 1955.700000
1804.314158, 721.098686, 1.291375, 1955.600000
1804.097780, 720.969554, 1.291265, 1955.500000
1803.880038, 720.840433, 1.291152, 1955.400000
1803.663723, 720.711323, 1.291043, 1955.300000
1803.446761, 720.582225, 1.290931, 1955.200000
1803.229633, 720.453137, 1.290820, 1955.100000
1803.013076, 720.324061, 1.290709, 1955.000000
1802.796450, 720.194995, 1.290599, 1954.900000
1802.579366, 720.065941, 1.290488, 1954.800000
1802.362800, 719.936898, 1.290377, 1954.700000
1802.146560, 719.807866, 1.290267, 1954.600000
1801.928771, 719.678845, 1.290155, 1954.500000
1801.711915, 719.549835, 1.290044, 1954.400000
1801.495163, 719.420836, 1.289933, 1954.300000
1801.279168, 719.291848, 1.289823, 1954.200000
1801.060894, 719.162871, 1.289710, 1954.100000
1800.845240, 719.033906, 1.289601, 1954.000000
1800.628301, 718.904951, 1.289489, 1953.900000
1800.412126, 718.776008, 1.289380, 1953.800000
1800.194905, 718.647076, 1.289268, 1953.700000
1799.978484, 718.518155, 1.289157, 1953.600000
1799.760737, 718.389245, 1.289045, 1953.500000
1799.543819, 718.260346, 1.288934, 1953.400000
1799.327776, 718.131458, 1.288824, 1953.300000
1799.110888, 718.002581, 1.288712, 1953.200000
1798.894512, 717.873715, 1.288602, 1953.100000
1798.677214, 717.744861, 1.288490, 1953.000000
1798.461675, 717.616017, 1.288381, 1952.900000
1798.244044, 717.487185, 1.288268, 1952.800000
1798.028037, 717.358363, 1.288158, 1952.700000
1797.812051, 717.229553, 1.288048, 1952.600000
1797.595272, 717.100754, 1.287937, 1952.500000
1797.377700, 716.971966, 1.287825, 1952.400000
1797.162753, 716.843189, 1.287716, 1952.300000
1796.943660, 716.714423, 1.287602, 1952.200000
1796.727748, 716.585668, 1.287492, 1952.100000
1796.512043, 716.456925, 1.287382, 1952.000000
1796.295113, 716.328192, 1.287271, 1951.900000
1796.078444, 716.199470, 1.287160, 1951.800000
1795.862537, 716.070760, 1.287050, 1951.700000
1795.644618, 715.942061, 1.286936, 1951.600000
1795.428742, 715.813373, 1.286826, 1951.500000
1795.212137, 715.684695, 1.286715, 1951.400000
1794.995301, 715.556029, 1.286604, 1951.300000
1794.779656, 715.427375, 1.286494, 1951.200000
1794.562044, 715.298731, 1.286382, 1951.100000
1794.346434, 715.170098, 1.286272, 1951.000000
1794.129663, 715.041476, 1.286161, 1950.900000
1793.913425, 714.912866, 1.286050, 1950.800000
1793.696871, 714.784266, 1.285939, 1950.700000
1793.480332, 714.655678, 1.285827, 1950.600000
1793.264670, 714.527101, 1.285718, 1950.500000
1793.048167, 714.398535, 1.285607, 1950.400000
1792.832008, 714.269980, 1.285496, 1950.300000
1792.615469, 714.141436, 1.285385, 1950.200000
1792.398266, 714.012903, 1.285273, 1950.100000
1792.181757, 713.884381, 1.285162, 1950.000000
1791.964918, 713.755870, 1.285050, 1949.900000
1791.750803, 713.627371, 1.284942, 1949.800000
1791.533658, 713.498882, 1.284830, 1949.700000
1791.317215, 713.370405, 1.284719, 1949.600000
1791.100382, 713.241939, 1.284607, 1949.500000
1790.884839, 713.113483, 1.284498, 1949.400000
1790.667696, 712.985039, 1.284385, 1949.300000
1790.451652, 712.856606, 1.284275, 1949.200000
1790.234482, 712.728184, 1.284162, 1949.100000
1790.019001, 712.599774, 1.284053, 1949.000000
1789.803008, 712.471374, 1.283942, 1948.900000
1789.586751, 712.342985, 1.283831, 1948.800000
1789.369647, 712.214608, 1.283719, 1948.700000
1789.155251, 712.086241, 1.283611, 1948.600000
1788.936935, 711.957886, 1.283497, 1948.500000
1788.722294, 711.829542, 1.283388, 1948.400000
1788.505525, 711.701209, 1.283276, 1948.300000
1788.290113, 711.572887, 1.283166, 1948.200000
1788.072690, 711.444576, 1.283054, 1948.100000
1787.857308, 711.316276, 1.282944, 1948.000000
1787.642216, 711.187987, 1.282834, 1947.900000
1787.424507, 711.059709, 1.282721, 1947.800000
1787.207560, 710.931443, 1.282609, 1947.700000
1786.992518, 710.803187, 1.282499, 1947.600000
1786.776407, 710.674943, 1.282389, 1947.500000
1786.559287, 710.546710, 1.282276, 1947.400000
1786.343955, 710.418488, 1.282166, 1947.300000
1786.127484, 710.290276, 1.282055, 1947.200000
1785.912182, 710.162077, 1.281945, 1947.100000
1785.696424, 710.033888, 1.281834, 1947.000000
1785.479663, 709.905710, 1.281723, 1946.900000
1785.263383, 709.777543, 1.281611, 1946.800000
1785.048146, 709.649388, 1.281501, 1946.700000
1784.831711, 709.521243, 1.281390, 1946.600000
1784.616032, 709.393110, 1.281279, 1946.500000
1784.398427, 709.264987, 1.281166, 1946.400000
1784.182343, 709.136876, 1.281055, 1946.300000
1783.967128, 709.008776, 1.280945, 1946.200000
1783.750770, 708.880687, 1.280833, 1946.100000
1783.535913, 708.752609, 1.280724, 1946.000000
1783.318449, 708.624543, 1.280611, 1945.900000
1783.103691, 708.496487, 1.280502, 1945.800000
1782.886505, 708.368442, 1.280389, 1945.700000
1782.671713, 708.240409, 1.280280, 1945.600000
1782.455392, 708.112386, 1.280168, 1945.500000
1782.239061, 707.984375, 1.280057, 1945.400000
1782.023515, 707.856375, 1.279946, 1945.300000
