# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
140.224219, 3.975368, 0.147112, 980.200000
140.405152, 3.990089, 0.147297, 980.300000
140.585793, 4.004828, 0.147481, 980.400000
140.766992, 4.019585, 0.147666, 980.500000
140.946625, 4.034361, 0.147849, 980.600000
141.126760, 4.049155, 0.148033, 980.700000
141.306653, 4.063968, 0.148216, 980.800000
141.486558, 4.078799, 0.148400, 980.900000
141.665941, 4.093648, 0.148582, 981.000000
141.845191, 4.108515, 0.148765, 981.100000
142.024137, 4.123401, 0.148947, 981.200000
142.203564, 4.138305, 0.149131, 981.300000
142.381623, 4.153227, 0.149312, 981.400000
142.560378, 4.168167, 0.149494, 981.500000
142.738544, 4.183126, 0.149675, 981.600000
142.916218, 4.198103, 0.149856, 981.700000
143.094091, 4.213098, 0.150037, 981.800000
143.272117, 4.228110, 0.150219, 981.900000
143.449518, 4.243141, 0.150400, 982.000000
143.626297, 4.258190, 0.150579, 982.100000
143.803752, 4.273258, 0.150760, 982.200000
143.981071, 4.288343, 0.150941, 982.300000
144.157208, 4.303446, 0.151120, 982.400000
144.333826, 4.318567, 0.151300, 982.500000
144.509870, 4.333706, 0.151479, 982.600000
144.686050, 4.348863, 0.151658, 982.700000
144.862535, 4.364038, 0.151838, 982.800000
145.036855, 4.379231, 0.152015, 982.900000
145.212752, 4.394441, 0.152194, 983.000000
145.388243, 4.409670, 0.152373, 983.100000
145.563480, 4.424916, 0.152551, 983.200000
145.737883, 4.440180, 0.152728, 983.300000
145.912726, 4.455462, 0.152906, 983.400000
146.087207, 4.470762, 0.153083, 983.500000
146.261993, 4.486079, 0.153261, 983.600000
146.436527, 4.501414, 0.153439, 983.700000
146.609877, 4.516767, 0.153615, 983.800000
146.783810, 4.532137, 0.153792, 983.900000
146.956964, 4.547525, 0.153967, 984.000000
147.130459, 4.562931, 0.154144, 984.100000
147.303860, 4.578354, 0.154320, 984.200000
147.476605, 4.593795, 0.154496, 984.300000
